,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,600519.XSHG,600519,贵州茅台,XSHG,2018-01-02,697.49,697.49,700.0,710.16,689.89,703.85,4961248,3482407646,23006,0.0039,0.9514423013,884174821530,884174821530,0.0091,36.4809,33.1834,10.4814,1,701.922
1,600519.XSHG,600519,贵州茅台,XSHG,2018-01-03,703.85,703.85,701.5,721.4,699.74,715.86,5201941,3713523701,24667,0.0041,0.9514423013,899261757108,899261757108,0.0171,37.1034,33.7496,10.6603,1,713.873
2,600519.XSHG,600519,贵州茅台,XSHG,2018-01-04,715.86,715.86,721.4,743.5,719.33,737.07,7220508,5309890210,29997,0.0057,0.9514423013,925905712446,925905712446,0.0296,38.2027,34.7495,10.9761,1,735.39
3,600519.XSHG,600519,贵州茅台,XSHG,2018-01-05,737.07,737.07,741.0,746.03,728.22,738.36,3998907,2946493013,20281,0.0032,0.9514423013,927526207608,927526207608,0.0018,38.2696,34.8103,10.9954,1,736.825
4,600519.XSHG,600519,贵州茅台,XSHG,2018-01-08,738.36,738.36,735.02,756.5,735.02,752.13,5220456,3899951720,25652,0.0042,0.9514423013,944824051314,944824051314,0.0186,38.9833,35.4595,11.2004,1,747.052
5,600519.XSHG,600519,贵州茅台,XSHG,2018-01-09,752.13,752.13,752.21,783.0,752.21,782.52,6459195,5001164506,28807,0.0051,0.9514423013,982999902456,982999902456,0.0404,40.5584,36.8923,11.653,1,774.271
6,600519.XSHG,600519,贵州茅台,XSHG,2018-01-10,782.52,782.52,785.0,788.88,773.48,785.71,4771424,3731993154,23760,0.0038,0.9514423013,987007173438,987007173438,0.0041,40.7238,37.0427,11.7005,1,782.155
7,600519.XSHG,600519,贵州茅台,XSHG,2018-01-11,785.71,785.71,787.0,788.0,772.0,774.81,5065607,3942075854,27512,0.004,0.9514423013,973314617418,973314617418,-0.0139,40.1588,36.5288,11.5382,1,778.204
8,600519.XSHG,600519,贵州茅台,XSHG,2018-01-12,774.81,774.81,773.77,788.8,767.02,788.42,4598824,3577281776,22763,0.0037,0.9514423013,990411469476,990411469476,0.0176,40.8642,37.1705,11.7408,1,777.869
9,600519.XSHG,600519,贵州茅台,XSHG,2018-01-15,788.42,788.42,793.46,799.06,779.02,785.37,5247313,4136645487,25353,0.0042,0.9514423013,986580066186,986580066186,-0.0039,40.7062,37.0267,11.6954,1,788.336
10,600519.XSHG,600519,贵州茅台,XSHG,2018-01-16,785.37,785.37,780.48,788.61,768.0,772.94,6542833,5084966063,31362,0.0052,0.9514423013,970965527532,970965527532,-0.0158,40.0619,36.4406,11.5103,1,777.181
11,600519.XSHG,600519,贵州茅台,XSHG,2018-01-17,772.94,772.94,770.0,774.0,738.51,747.93,9070954,6835580477,38091,0.0072,0.9514423013,939548020554,939548020554,-0.0324,38.7656,35.2615,11.1379,1,753.568
12,600519.XSHG,600519,贵州茅台,XSHG,2018-01-18,747.93,747.93,747.93,765.0,744.09,750.74,5897851,4443031234,28580,0.0047,0.9514423013,943077936372,943077936372,0.0038,38.9113,35.394,11.1797,1,753.331
13,600519.XSHG,600519,贵州茅台,XSHG,2018-01-19,750.74,750.74,752.9,758.9,739.02,750.18,5092556,3818021990,23073,0.0041,0.9514423013,942374465604,942374465604,-0.0007,38.8822,35.3676,11.1714,1,749.726
14,600519.XSHG,600519,贵州茅台,XSHG,2018-01-22,750.18,750.18,751.81,774.0,751.81,773.64,6712675,5129674653,28952,0.0053,0.9514423013,971844865992,971844865992,0.0313,40.0982,36.4736,11.5207,1,764.177
15,600519.XSHG,600519,贵州茅台,XSHG,2018-01-23,773.64,773.64,777.81,780.0,768.6,773.78,4954918,3836387690,22402,0.0039,0.9514423013,972020733684,972020733684,0.0002,40.1054,36.4802,11.5228,1,774.259
16,600519.XSHG,600519,贵州茅台,XSHG,2018-01-24,773.78,773.78,776.44,776.46,758.6,764.46,4329881,3311348774,22127,0.0034,0.9514423013,960312970188,960312970188,-0.012,39.6224,36.0408,11.384,1,764.767
17,600519.XSHG,600519,贵州茅台,XSHG,2018-01-25,764.46,764.46,761.0,776.0,751.0,769.16,5004072,3821875040,24560,0.004,0.9514423013,966217099848,966217099848,0.0061,39.866,36.2624,11.454,1,763.753
18,600519.XSHG,600519,贵州茅台,XSHG,2018-01-26,769.16,769.16,767.24,777.4,764.0,777.22,4397833,3389953777,22091,0.0035,0.9514423013,976342054116,976342054116,0.0105,40.2837,36.6424,11.574,1,770.824
19,600519.XSHG,600519,贵州茅台,XSHG,2018-01-29,777.22,777.22,778.76,779.67,735.0,736.32,7453551,5637041971,36173,0.0059,0.9514423013,924963564096,924963564096,-0.0526,38.1639,34.7142,10.965,1,756.289
20,600519.XSHG,600519,贵州茅台,XSHG,2018-01-30,736.32,736.32,736.0,748.77,730.02,742.08,5191103,3852705098,24235,0.0041,0.9514423013,932199263424,932199263424,0.0078,38.4624,34.9857,11.0508,1,742.175
21,600519.XSHG,600519,贵州茅台,XSHG,2018-01-31,742.08,742.08,739.0,771.71,739.0,764.54,6040241,4601994781,27040,0.0048,0.9514423013,960413466012,960413466012,0.0303,39.6265,36.0446,11.3852,1,761.889
22,600519.XSHG,600519,贵州茅台,XSHG,2018-02-01,764.54,764.54,767.0,767.3,752.92,757.73,5058261,3846421613,23738,0.004,0.9514423013,951858758994,951858758994,-0.0089,39.2736,35.7236,11.2838,1,760.424
23,600519.XSHG,600519,贵州茅台,XSHG,2018-02-02,757.73,757.73,752.22,753.23,725.0,740.4,7542082,5583742782,33546,0.006,0.9514423013,930088851120,930088851120,-0.0229,38.3753,34.9065,11.0257,1,740.345
24,600519.XSHG,600519,贵州茅台,XSHG,2018-02-05,740.4,740.4,727.22,729.96,705.6,718.23,9899585,7104095616,36006,0.0079,0.9514423013,902238945894,902238945894,-0.0299,37.2263,33.8613,10.6956,1,717.615
25,600519.XSHG,600519,贵州茅台,XSHG,2018-02-06,718.23,718.23,703.0,722.6,703.0,708.86,8816871,6270888575,33240,0.007,0.9514423013,890468372508,890468372508,-0.013,36.7406,33.4196,10.5561,1,711.237
26,600519.XSHG,600519,贵州茅台,XSHG,2018-02-07,708.86,708.86,720.0,723.88,682.01,683.43,8828998,6231141116,38173,0.007,0.9514423013,858523262454,858523262454,-0.0359,35.4225,32.2206,10.1774,1,705.759
27,600519.XSHG,600519,贵州茅台,XSHG,2018-02-08,683.43,683.43,682.2,718.0,682.2,700.99,8340943,5860233484,35356,0.0066,0.9514423013,880582095822,880582095822,0.0257,36.3327,33.0485,10.4389,1,702.586
28,600519.XSHG,600519,贵州茅台,XSHG,2018-02-09,700.99,700.99,680.0,689.89,658.0,683.43,10557826,7160206330,38276,0.0084,0.9514423013,858523262454,858523262454,-0.0251,35.4225,32.2206,10.1774,1,678.189
